miR	contrast	estimate	std.error	statistic	adj.p.value	Cluster
hsa-miR-3928-3p 	Cluster4 - 1	0.273816499	0.284051636	0.963967337	0.670543384	C1
hsa-miR-3928-3p 	Cluster5 - 1	0.181224917	0.289179398	0.626686818	0.758561517	C1
hsa-miR-10527-5p 	Cluster2 - 1	-0.309637396	0.27448197	-1.128079182	0.648823976	C1
hsa-miR-10527-5p 	Cluster3 - 1	0.271152773	0.28524534	0.950594929	0.684032829	C1
hsa-miR-10527-5p 	Cluster4 - 1	0.177103521	0.283360266	0.62501184	0.81899356	C1
hsa-miR-10527-5p 	Cluster5 - 1	0.157789539	0.288475547	0.546977173	0.81899356	C1
hsa-miR-576-5p 	Cluster2 - 1	-0.266450546	0.270657436	-0.984456775	0.406381158	C1
hsa-miR-576-5p 	Cluster3 - 1	0.516549759	0.281270833	1.836485336	0.16021816	C1
hsa-miR-576-5p 	Cluster4 - 1	0.054708126	0.279412025	0.195797323	0.938671717	C1
hsa-miR-576-5p 	Cluster5 - 1	0.520021519	0.284456031	1.828126186	0.16021816	C1
hsa-miR-375-3p 	Cluster2 - 1	-0.300343746	0.269951417	-1.112584441	0.380181698	C1
hsa-miR-375-3p 	Cluster3 - 1	0.870898026	0.280537128	3.104394884	0.009774134	C1
hsa-miR-375-3p 	Cluster4 - 1	0.130016597	0.278683169	0.466539108	0.748141863	C1
hsa-miR-375-3p 	Cluster5 - 1	0.119641331	0.283714018	0.421696931	0.748141863	C1
hsa-miR-500b-3p 	Cluster2 - 1	-0.285567992	0.200840219	-1.421866568	0.388362861	C1
hsa-miR-500b-3p 	Cluster3 - 1	0.137515693	0.208715845	0.658865609	0.600302993	C1
hsa-miR-500b-3p 	Cluster4 - 1	-0.350528163	0.207336525	-1.690624281	0.303961922	C1
hsa-miR-500b-3p 	Cluster5 - 1	-0.129305108	0.211079408	-0.612589872	0.600302993	C1
hsa-miR-181a-2-3p 	Cluster2 - 1	-0.053669548	0.277951501	-0.193089614	0.846924015	C1
hsa-miR-181a-2-3p 	Cluster3 - 1	0.477606877	0.288850922	1.653471878	0.246292155	C1
hsa-miR-181a-2-3p 	Cluster4 - 1	0.76628656	0.286942021	2.670527509	0.038418013	C1
hsa-miR-181a-2-3p 	Cluster5 - 1	0.338949542	0.29212196	1.160301479	0.351678435	C1
hsa-miR-338-3p 	Cluster2 - 1	-0.302191278	0.244649443	-1.235201171	0.406928458	C1
hsa-miR-338-3p 	Cluster3 - 1	0.29626317	0.254242978	1.165275725	0.406928458	C1
hsa-miR-338-3p 	Cluster4 - 1	0.180656128	0.252562786	0.715291949	0.610840341	C1
hsa-miR-338-3p 	Cluster5 - 1	-0.155778359	0.257122104	-0.605853626	0.610840341	C1
hsa-miR-141-3p 	Cluster2 - 1	-0.946841716	0.275245598	-3.439988593	0.001508245	C1
hsa-miR-141-3p 	Cluster3 - 1	0.533971594	0.286038912	1.866779562	0.0974187	C1
hsa-miR-141-3p 	Cluster4 - 1	0.014087729	0.284148594	0.049578738	0.960466986	C1
hsa-miR-141-3p 	Cluster5 - 1	-0.504630405	0.289278105	-1.744447282	0.10169645	C1
hsa-let-7b-3p 	Cluster2 - 1	-0.215407616	0.28585086	-0.753566445	0.501409974	C1
hsa-let-7b-3p 	Cluster3 - 1	0.452470234	0.297060043	1.523160874	0.256005048	C1
hsa-let-7b-3p 	Cluster4 - 1	0.716205792	0.29509689	2.427019112	0.060458143	C1
hsa-let-7b-3p 	Cluster5 - 1	0.366131982	0.300424043	1.218717313	0.336800378	C1
hsa-miR-4286 	Cluster2 - 1	-0.636462797	0.242619069	-2.623300798	0.022068235	C1
hsa-miR-4286 	Cluster3 - 1	0.452509251	0.252132986	1.794724514	0.145937737	C1
hsa-miR-4286 	Cluster4 - 1	0.189163757	0.250466739	0.75524502	0.500290854	C1
hsa-miR-4286 	Cluster5 - 1	0.193089669	0.254988218	0.757249374	0.500290854	C1
hsa-miR-3605-5p 	Cluster2 - 1	0.111625513	0.275685704	0.404901347	0.761808704	C1
hsa-miR-3605-5p 	Cluster3 - 1	0.62436839	0.286496276	2.179324629	0.258751755	C1
hsa-miR-3605-5p 	Cluster4 - 1	0.127493887	0.284602935	0.447971091	0.761808704	C1
hsa-miR-3605-5p 	Cluster5 - 1	0.339496836	0.289740649	1.171726636	0.603893971	C1
hsa-miR-146b-3p 	Cluster2 - 1	-0.321037647	0.278298376	-1.153573558	0.355603861	C1
hsa-miR-146b-3p 	Cluster3 - 1	0.768130273	0.2892114	2.65594743	0.026738745	C1
hsa-miR-146b-3p 	Cluster4 - 1	0.225171727	0.287300116	0.783750911	0.523353523	C1
hsa-miR-146b-3p 	Cluster5 - 1	-0.210903115	0.292486519	-0.721069522	0.523353523	C1
hsa-miR-142-3p 	Cluster2 - 1	-0.476978719	0.292998001	-1.627924824	0.346079486	C1
hsa-miR-142-3p 	Cluster3 - 1	0.112164092	0.304487447	0.368370167	0.801337471	C1
hsa-miR-142-3p 	Cluster4 - 1	0.005446108	0.30247521	0.01800514	0.98563798	C1
hsa-miR-142-3p 	Cluster5 - 1	-0.140116528	0.307935558	-0.455018997	0.801337471	C1
hsa-miR-2355-3p 	Cluster2 - 1	-0.331780969	0.254914526	-1.301538104	0.386687327	C1
hsa-miR-2355-3p 	Cluster3 - 1	0.305690792	0.26491059	1.153939493	0.409230633	C1
hsa-miR-2355-3p 	Cluster4 - 1	0.229598443	0.2631599	0.872467433	0.478927003	C1
hsa-miR-2355-3p 	Cluster5 - 1	-0.285707302	0.26791052	-1.066428082	0.409230633	C1
hsa-miR-340-3p 	Cluster2 - 1	-0.425565517	0.285816488	-1.4889467	0.410650994	C1
hsa-miR-340-3p 	Cluster3 - 1	0.03006202	0.297024323	0.101210632	0.926921533	C1
hsa-miR-340-3p 	Cluster4 - 1	0.056817961	0.295061406	0.192563175	0.926921533	C1
hsa-miR-340-3p 	Cluster5 - 1	-0.346341639	0.300387918	-1.152981256	0.415276056	C1
hsa-miR-1294 	Cluster2 - 1	-0.647746342	0.266812617	-2.427720058	0.051172772	C1
hsa-miR-1294 	Cluster3 - 1	0.22818736	0.277275245	0.822963332	0.586721616	C1
hsa-miR-1294 	Cluster4 - 1	0.070208436	0.275442843	0.254892942	0.798852877	C1
hsa-miR-1294 	Cluster5 - 1	-0.187765677	0.280415196	-0.669598794	0.624291787	C1
hsa-miR-3143 	Cluster2 - 1	-0.162106981	0.271382655	-0.597337295	0.821845501	C1
hsa-miR-3143 	Cluster3 - 1	0.393613514	0.282024491	1.395671396	0.407729577	C1
hsa-miR-3143 	Cluster4 - 1	-0.020125877	0.280160702	-0.071836903	0.94795376	C1
hsa-miR-3143 	Cluster5 - 1	-0.144383534	0.285218224	-0.50622128	0.821845501	C1
hsa-miR-130b-5p 	Cluster2 - 1	-0.419373837	0.24990598	-1.678126456	0.402418888	C1
hsa-miR-130b-5p 	Cluster3 - 1	-0.198300508	0.259705642	-0.763558723	0.742153459	C1
hsa-miR-130b-5p 	Cluster4 - 1	0.080962375	0.25798935	0.31382061	0.837462329	C1
hsa-miR-130b-5p 	Cluster5 - 1	-0.031190172	0.262646629	-0.118753369	0.905492182	C1
hsa-miR-30a-3p 	Cluster2 - 1	-0.177680052	0.287538391	-0.617935055	0.992420734	C1
hsa-miR-30a-3p 	Cluster3 - 1	0.063371731	0.298813747	0.212077695	0.992420734	C1
hsa-miR-30a-3p 	Cluster4 - 1	-0.180358215	0.296839005	-0.607596078	0.992420734	C1
hsa-miR-30a-3p 	Cluster5 - 1	-0.038530845	0.302197607	-0.127502153	0.992420734	C1
hsa-miR-25-5p 	Cluster2 - 1	-0.872670487	0.273895129	-3.186148251	0.003704743	C1
hsa-miR-25-5p 	Cluster3 - 1	0.676779416	0.284635487	2.377705686	0.035177714	C1
hsa-miR-25-5p 	Cluster4 - 1	0.038403852	0.282754443	0.135820508	0.891987739	C1
hsa-miR-25-5p 	Cluster5 - 1	0.106669704	0.287858788	0.370562613	0.888792305	C1
hsa-miR-577 	Cluster2 - 1	-1.039806879	0.291553093	-3.566440906	0.001886189	C1
hsa-miR-577 	Cluster3 - 1	0.126715945	0.30298588	0.418223928	0.675864082	C1
hsa-miR-577 	Cluster4 - 1	-0.471706797	0.300983566	-1.567217784	0.167640061	C1
hsa-miR-577 	Cluster5 - 1	-0.756635672	0.306416986	-2.46930068	0.034217466	C1
hsa-miR-362-5p 	Cluster2 - 1	-0.150151038	0.260533345	-0.576321766	0.641093959	C1
hsa-miR-362-5p 	Cluster3 - 1	0.200966268	0.270749742	0.742258391	0.641093959	C1
hsa-miR-362-5p 	Cluster4 - 1	0.492323935	0.268960464	1.830469535	0.224823478	C1
hsa-miR-362-5p 	Cluster5 - 1	-0.004747109	0.273815796	-0.01733687	0.986170979	C1
hsa-miR-548av-5p-hsa-miR-548k 	Cluster2 - 1	-0.339870075	0.274857235	-1.236533126	0.309316179	C1
hsa-miR-548av-5p-hsa-miR-548k 	Cluster3 - 1	0.656510678	0.28563532	2.298422614	0.054306039	C1
hsa-miR-548av-5p-hsa-miR-548k 	Cluster4 - 1	0.291026638	0.283747669	1.025652967	0.381597559	C1
hsa-miR-548av-5p-hsa-miR-548k 	Cluster5 - 1	-0.124837246	0.288869943	-0.432157271	0.665710822	C1
hsa-miR-214-3p 	Cluster2 - 1	-0.276660447	0.268785533	-1.029298132	0.505938711	C1
hsa-miR-214-3p 	Cluster3 - 1	0.449163199	0.279325526	1.608027759	0.360375695	C1
hsa-miR-214-3p 	Cluster4 - 1	0.201890179	0.277479573	0.727585734	0.583775298	C1
hsa-miR-214-3p 	Cluster5 - 1	0.04250193	0.282488695	0.150455332	0.880432651	C1
hsa-miR-1307-3p 	Cluster2 - 1	-0.418066727	0.289428858	-1.444454194	0.212703858	C1
hsa-miR-1307-3p 	Cluster3 - 1	0.581493585	0.300778346	1.933296043	0.133632772	C1
hsa-miR-1307-3p 	Cluster4 - 1	0.445398935	0.29879062	1.490672414	0.212703858	C1
hsa-miR-1307-3p 	Cluster5 - 1	-0.056241367	0.304184453	-0.184892313	0.853347185	C1
hsa-miR-331-5p 	Cluster2 - 1	-0.300774638	0.279757755	-1.075125292	0.837329067	C1
hsa-miR-331-5p 	Cluster3 - 1	-0.337257487	0.290728006	-1.160044714	0.837329067	C1
hsa-miR-331-5p 	Cluster4 - 1	-0.183824898	0.288806699	-0.63649804	0.837329067	C1
hsa-miR-331-5p 	Cluster5 - 1	-0.132586492	0.2940203	-0.450943325	0.837329067	C1
hsa-miR-1246 	Cluster2 - 1	0.553695943	0.184552925	3.000201398	0.010057735	C1
hsa-miR-1246 	Cluster3 - 1	-0.007593306	0.191789871	-0.039591797	0.979556768	C1
hsa-miR-1246 	Cluster4 - 1	0.317285784	0.190522408	1.665346286	0.169076431	C1
hsa-miR-1246 	Cluster5 - 1	0.004971309	0.193961759	0.025630356	0.979556768	C1
hsa-miR-200c-3p 	Cluster2 - 1	-0.462717416	0.257829065	-1.794667392	0.169367709	C1
hsa-miR-200c-3p 	Cluster3 - 1	0.462375755	0.267939418	1.725672759	0.169367709	C1
hsa-miR-200c-3p 	Cluster4 - 1	0.171236558	0.266168712	0.643338419	0.650171321	C1
hsa-miR-200c-3p 	Cluster5 - 1	0.053066933	0.270973647	0.195837985	0.844772726	C1
hsa-miR-1255b-5p 	Cluster2 - 1	-0.674368151	0.283578877	-2.378061999	0.058573194	C1
hsa-miR-1255b-5p 	Cluster3 - 1	0.09206273	0.294698967	0.312395834	0.885411466	C1
hsa-miR-1255b-5p 	Cluster4 - 1	-0.208357855	0.292751418	-0.711722785	0.681122286	C1
hsa-miR-1255b-5p 	Cluster5 - 1	0.076732779	0.29803623	0.257461246	0.885411466	C1
hsa-miR-3158-3p 	Cluster2 - 1	-0.573183954	0.290519577	-1.972961548	0.218772189	C1
hsa-miR-3158-3p 	Cluster3 - 1	-0.050394246	0.301911836	-0.166917092	0.95576017	C1
hsa-miR-3158-3p 	Cluster4 - 1	-0.557381684	0.299916619	-1.858455476	0.218772189	C1
hsa-miR-3158-3p 	Cluster5 - 1	-0.247860459	0.305330779	-0.811776852	0.595847515	C1
hsa-miR-411-5p 	Cluster2 - 1	-0.237131126	0.301106396	-0.787532675	0.822417139	C1
hsa-miR-411-5p 	Cluster3 - 1	0.125309899	0.3129138	0.400461403	0.822417139	C1
hsa-miR-411-5p 	Cluster4 - 1	0.191510842	0.310845876	0.616095811	0.822417139	C1
hsa-miR-411-5p 	Cluster5 - 1	-0.104970081	0.316457333	-0.33170374	0.822417139	C1
hsa-miR-410-3p 	Cluster2 - 1	-0.165390913	0.274037879	-0.603533034	0.798591099	C1
hsa-miR-410-3p 	Cluster3 - 1	0.166451344	0.284783835	0.584483121	0.798591099	C1
hsa-miR-410-3p 	Cluster4 - 1	0.243543816	0.282901811	0.860877546	0.798591099	C1
hsa-miR-410-3p 	Cluster5 - 1	0.183985237	0.288008815	0.638818076	0.798591099	C1
hsa-miR-323a-3p 	Cluster2 - 1	-0.614667978	0.304992951	-2.015351424	0.220539314	C1
hsa-miR-323a-3p 	Cluster3 - 1	0.098936424	0.31695276	0.312148801	0.838873231	C1
hsa-miR-323a-3p 	Cluster4 - 1	-0.228583102	0.314858144	-0.72598758	0.626328986	C1
hsa-miR-323a-3p 	Cluster5 - 1	-0.215736788	0.320542031	-0.67303744	0.626328986	C1
hsa-miR-889-3p 	Cluster2 - 1	-0.647137049	0.301476114	-2.146561598	0.160219135	C1
hsa-miR-889-3p 	Cluster3 - 1	-0.147832939	0.313298015	-0.471860438	0.796398623	C1
hsa-miR-889-3p 	Cluster4 - 1	-0.217719773	0.311227553	-0.699551731	0.691933528	C1
hsa-miR-889-3p 	Cluster5 - 1	0.081885909	0.3168459	0.258440805	0.820327246	C1
hsa-miR-574-3p 	Cluster2 - 1	-0.442785502	0.267040703	-1.658119895	0.173140539	C1
hsa-miR-574-3p 	Cluster3 - 1	0.653358607	0.277512275	2.354341287	0.046821421	C1
hsa-miR-574-3p 	Cluster4 - 1	0.395210611	0.275678306	1.433593437	0.217098817	C1
hsa-miR-574-3p 	Cluster5 - 1	0.201674578	0.280654911	0.718585604	0.482807133	C1
hsa-miR-877-5p 	Cluster2 - 1	-0.457862151	0.265814957	-1.722484528	0.237894426	C1
hsa-miR-877-5p 	Cluster3 - 1	0.211309682	0.276238464	0.76495387	0.501227822	C1
hsa-miR-877-5p 	Cluster4 - 1	-0.022648766	0.274412913	-0.082535349	0.93423585	C1
hsa-miR-877-5p 	Cluster5 - 1	-0.25742934	0.279366674	-0.921474764	0.501227822	C1
hsa-mir-151b 	Cluster2 - 1	-0.44005559	0.193518663	-2.273969768	0.115787785	C1
hsa-mir-151b 	Cluster3 - 1	-0.199804106	0.201107187	-0.993520468	0.534453873	C1
hsa-mir-151b 	Cluster4 - 1	0.017614618	0.199778149	0.088170895	0.929756711	C1
hsa-mir-151b 	Cluster5 - 1	-0.110383886	0.203384587	-0.542734762	0.729624902	C1
hsa-miR-374a-3p 	Cluster2 - 1	-0.353240019	0.297490481	-1.187399402	0.588308662	C1
hsa-miR-374a-3p 	Cluster3 - 1	0.208678604	0.309156092	0.674994314	0.816688305	C1
hsa-miR-374a-3p 	Cluster4 - 1	0.179138502	0.307113001	0.583298332	0.816688305	C1
hsa-miR-374a-3p 	Cluster5 - 1	0.041171933	0.312657072	0.131683998	0.922496882	C1
hsa-miR-574-5p 	Cluster2 - 1	-0.035466543	0.263794626	-0.134447556	0.959410822	C1
hsa-miR-574-5p 	Cluster3 - 1	0.359485998	0.274138909	1.311327895	0.475043656	C1
hsa-miR-574-5p 	Cluster4 - 1	0.373188442	0.272327233	1.370367695	0.475043656	C1
hsa-miR-574-5p 	Cluster5 - 1	0.178097842	0.277243343	0.642388166	0.650941845	C1
hsa-miR-23b-5p 	Cluster2 - 1	-0.346125387	0.266719272	-1.2977142	0.826683197	C1
hsa-miR-23b-5p 	Cluster3 - 1	-0.228284722	0.27717824	-0.82360261	0.826683197	C1
hsa-miR-23b-5p 	Cluster4 - 1	-0.168678307	0.275346478	-0.612603829	0.826683197	C1
hsa-miR-23b-5p 	Cluster5 - 1	-0.094453696	0.280317092	-0.336953039	0.826683197	C1
hsa-miR-760 	Cluster2 - 1	-0.216104868	0.263520791	-0.820067622	0.672972885	C1
hsa-miR-760 	Cluster3 - 1	0.307071527	0.273854336	1.121295108	0.656010328	C1
hsa-miR-760 	Cluster4 - 1	0.1404846	0.27204454	0.516402937	0.672972885	C1
hsa-miR-760 	Cluster5 - 1	-0.020954914	0.276955547	-0.075661651	0.939701884	C1
hsa-miR-550a-3-5p 	Cluster2 - 1	-0.599549316	0.228896776	-2.619299958	0.022327128	C1
hsa-miR-550a-3-5p 	Cluster3 - 1	0.537478387	0.237872596	2.2595221	0.043992613	C1
hsa-miR-550a-3-5p 	Cluster4 - 1	0.018182344	0.236300589	0.076945828	0.938680469	C1
hsa-miR-550a-3-5p 	Cluster5 - 1	0.081949269	0.240566339	0.340651437	0.874803773	C1
hsa-miR-1273h-3p 	Cluster2 - 1	-0.769183423	0.289324515	-2.658549083	0.044005641	C1
hsa-miR-1273h-3p 	Cluster3 - 1	-0.053956764	0.300669911	-0.179455149	0.952903328	C1
hsa-miR-1273h-3p 	Cluster4 - 1	-0.06516631	0.298682902	-0.218178909	0.952903328	C1
hsa-miR-1273h-3p 	Cluster5 - 1	-0.565975164	0.30407479	-1.861302488	0.156466432	C1
hsa-miR-139-3p 	Cluster2 - 1	0.080169784	0.248354567	0.322803744	0.829893898	C1
hsa-miR-139-3p 	Cluster3 - 1	0.231640196	0.258093392	0.897505333	0.717826002	C1
hsa-miR-139-3p 	Cluster4 - 1	0.430510909	0.256387755	1.6791399	0.717826002	C1
hsa-miR-139-3p 	Cluster5 - 1	0.286431745	0.261016122	1.097371851	0.717826002	C1
hsa-miR-3605-3p 	Cluster2 - 1	-0.240501245	0.26670946	-0.901734966	0.571901935	C1
hsa-miR-3605-3p 	Cluster3 - 1	-0.481802239	0.277168043	-1.738303718	0.412169294	C1
hsa-miR-3605-3p 	Cluster4 - 1	0.074246372	0.275336349	0.269656993	0.787474135	C1
hsa-miR-3605-3p 	Cluster5 - 1	-0.157410335	0.28030678	-0.561564494	0.718157288	C1
hsa-miR-493-3p 	Cluster2 - 1	-0.64007395	0.288685642	-2.217200497	0.067027104	C1
hsa-miR-493-3p 	Cluster3 - 1	0.264044258	0.300005986	0.880129964	0.67944205	C1
hsa-miR-493-3p 	Cluster4 - 1	0.053825638	0.298023365	0.180608787	0.975037978	C1
hsa-miR-493-3p 	Cluster5 - 1	0.046763942	0.303403347	0.154131264	0.975037978	C1
hsa-miR-4662a-5p 	Cluster2 - 1	-0.505755379	0.287898713	-1.756712885	0.274027691	C1
hsa-miR-4662a-5p 	Cluster3 - 1	-0.011247302	0.299188199	-0.037592733	0.970019143	C1
hsa-miR-4662a-5p 	Cluster4 - 1	0.162211602	0.297210982	0.5457793	0.83618146	C1
hsa-miR-4662a-5p 	Cluster5 - 1	-0.085189186	0.302576299	-0.28154613	0.894268444	C1
hsa-miR-195-5p 	Cluster2 - 1	-0.128929879	0.285422922	-0.451715222	0.8144527	C1
hsa-miR-195-5p 	Cluster3 - 1	0.51609429	0.296615324	1.739944801	0.205362807	C1
hsa-miR-195-5p 	Cluster4 - 1	0.381385511	0.29465511	1.294345483	0.326357659	C1
hsa-miR-195-5p 	Cluster5 - 1	-0.039120496	0.299974288	-0.130412831	0.896263382	C1
hsa-miR-4433b-5p 	Cluster2 - 1	0.598594616	0.260618765	2.296820857	0.218139929	C1
hsa-miR-4433b-5p 	Cluster3 - 1	0.32551015	0.270838512	1.20186065	0.481370718	C1
hsa-miR-4433b-5p 	Cluster4 - 1	0.299675299	0.269048647	1.113833139	0.481370718	C1
hsa-miR-4433b-5p 	Cluster5 - 1	0.452036394	0.273905571	1.650336615	0.481370718	C1
hsa-miR-205-5p 	Cluster2 - 1	-0.177123789	0.262773993	-0.674053727	0.618296789	C1
hsa-miR-205-5p 	Cluster3 - 1	0.433943053	0.273078253	1.589079501	0.293431066	C1
hsa-miR-205-5p 	Cluster4 - 1	0.276203942	0.271273586	1.018174848	0.617632277	C1
hsa-miR-205-5p 	Cluster5 - 1	0.234777662	0.276170676	0.850117998	0.618296789	C1
hsa-miR-6852-5p 	Cluster2 - 1	-0.565410888	0.273261862	-2.069117457	0.096913687	C1
hsa-miR-6852-5p 	Cluster3 - 1	0.389193569	0.283977387	1.370509018	0.284673998	C1
hsa-miR-6852-5p 	Cluster4 - 1	0.537509701	0.282100692	1.905382424	0.113975723	C1
hsa-miR-6852-5p 	Cluster5 - 1	0.18388654	0.287193235	0.64028855	0.580129791	C1
hsa-miR-642a-3p 	Cluster2 - 1	-0.064585781	0.293059772	-0.220384328	0.970377876	C1
hsa-miR-642a-3p 	Cluster3 - 1	-0.08245088	0.30455164	-0.270728734	0.970377876	C1
hsa-miR-642a-3p 	Cluster4 - 1	0.384559122	0.302538979	1.271106037	0.544326523	C1
hsa-miR-642a-3p 	Cluster5 - 1	0.011439973	0.308000478	0.037142712	0.970377876	C1
hsa-miR-328-3p 	Cluster2 - 1	-0.374162819	0.288259529	-1.298006765	0.291443022	C1
hsa-miR-328-3p 	Cluster3 - 1	-0.308080226	0.299563163	-1.028431609	0.379962862	C1
hsa-miR-328-3p 	Cluster4 - 1	0.478210565	0.297583469	1.606979606	0.291443022	C1
hsa-miR-328-3p 	Cluster5 - 1	0.072646123	0.30295551	0.239791392	0.816444774	C1
hsa-miR-454-5p 	Cluster2 - 1	-0.578929389	0.273514342	-2.116632658	0.062294287	C1
hsa-miR-454-5p 	Cluster3 - 1	0.655990806	0.284239768	2.30787835	0.052971503	C1
hsa-miR-454-5p 	Cluster4 - 1	0.43071067	0.282361339	1.525388253	0.159307975	C1
hsa-miR-454-5p 	Cluster5 - 1	-0.0087467	0.287458587	-0.030427689	0.975731418	C1
hsa-miR-654-5p 	Cluster2 - 1	-0.902439758	0.257147752	-3.509421145	0.001167582	C1
hsa-miR-654-5p 	Cluster3 - 1	0.343190401	0.267231388	1.284244352	0.398647445	C1
hsa-miR-654-5p 	Cluster4 - 1	0.254478957	0.265465361	0.958614547	0.490724464	C1
hsa-miR-654-5p 	Cluster5 - 1	0.089948654	0.270257599	0.332825625	0.739328593	C1
hsa-miR-381-3p 	Cluster2 - 1	-0.28623786	0.26857216	-1.065776363	0.358444859	C1
hsa-miR-381-3p 	Cluster3 - 1	0.722106904	0.279103786	2.587234353	0.027973829	C1
hsa-miR-381-3p 	Cluster4 - 1	0.530115763	0.2772593	1.911985507	0.103989607	C1
hsa-miR-381-3p 	Cluster5 - 1	0.012922924	0.282264444	0.045783039	0.963491391	C1
hsa-miR-11400 	Cluster2 - 1	-0.243224076	0.283275923	-0.85861189	0.55819935	C1
hsa-miR-11400 	Cluster3 - 1	0.538655422	0.294384133	1.829770566	0.225172071	C1
hsa-miR-11400 	Cluster4 - 1	0.215064284	0.292438665	0.735416722	0.577800848	C1
hsa-miR-11400 	Cluster5 - 1	0.39899754	0.297717831	1.34018691	0.360916207	C1
hsa-miR-495-3p 	Cluster2 - 1	-0.248765485	0.292951192	-0.849170414	0.72565555	C1
hsa-miR-495-3p 	Cluster3 - 1	0.223560531	0.304438802	0.734336521	0.72565555	C1
hsa-miR-495-3p 	Cluster4 - 1	0.190274442	0.302426887	0.629158486	0.72565555	C1
hsa-miR-495-3p 	Cluster5 - 1	-0.086786448	0.307886362	-0.281878181	0.864543692	C1
hsa-miR-656-3p 	Cluster2 - 1	-0.306075537	0.289787566	-1.056206589	0.506145819	C1
hsa-miR-656-3p 	Cluster3 - 1	0.390800372	0.30115112	1.297688586	0.48665812	C1
hsa-miR-656-3p 	Cluster4 - 1	-0.187009973	0.299160931	-0.625114959	0.665029685	C1
hsa-miR-656-3p 	Cluster5 - 1	0.080909877	0.304561449	0.265660272	0.790550061	C1
hsa-miR-125b-1-3p 	Cluster2 - 1	-0.467403263	0.239681809	-1.950099023	0.160020659	C1
hsa-miR-125b-1-3p 	Cluster3 - 1	0.090164796	0.249080547	0.361990516	0.896784791	C1
hsa-miR-125b-1-3p 	Cluster4 - 1	-0.031803861	0.247434472	-0.128534481	0.897749234	C1
hsa-miR-125b-1-3p 	Cluster5 - 1	0.131397648	0.251901212	0.521623724	0.882987999	C1
hsa-miR-7706 	Cluster2 - 1	-0.650695157	0.285321762	-2.280566168	0.113812571	C1
hsa-miR-7706 	Cluster3 - 1	-0.00263871	0.296510196	-0.008899223	0.992901136	C1
hsa-miR-7706 	Cluster4 - 1	-0.188121674	0.294550678	-0.638673371	0.655256478	C1
hsa-miR-7706 	Cluster5 - 1	-0.218859978	0.29986797	-0.72985447	0.655256478	C1
hsa-miR-485-5p 	Cluster2 - 1	-0.627190218	0.286118007	-2.192068319	0.095270418	C1
hsa-miR-485-5p 	Cluster3 - 1	-0.006309756	0.297337665	-0.021220842	0.983073292	C1
hsa-miR-485-5p 	Cluster4 - 1	0.19079783	0.295372678	0.64595626	0.657961414	C1
hsa-miR-485-5p 	Cluster5 - 1	-0.16563776	0.300704809	-0.550831762	0.657961414	C1
hsa-miR-1292-5p 	Cluster2 - 1	-0.213779063	0.264023834	-0.80969608	0.522859925	C1
hsa-miR-1292-5p 	Cluster3 - 1	0.490245253	0.274377105	1.786757149	0.247496118	C1
hsa-miR-1292-5p 	Cluster4 - 1	0.378896868	0.272563855	1.390121475	0.329539862	C1
hsa-miR-1292-5p 	Cluster5 - 1	0.074390776	0.277484236	0.268090099	0.788679644	C1
hsa-miR-505-5p 	Cluster2 - 1	-0.745650264	0.269760036	-2.764124281	0.019647716	C1
hsa-miR-505-5p 	Cluster3 - 1	0.341920757	0.280338242	1.219672187	0.299782489	C1
hsa-miR-505-5p 	Cluster4 - 1	-0.016080123	0.278485597	-0.05774131	0.953965052	C1
hsa-miR-505-5p 	Cluster5 - 1	-0.323548355	0.283512879	-1.141212192	0.299782489	C1
hsa-miR-92b-5p 	Cluster2 - 1	-0.202359614	0.279615995	-0.72370543	0.873253426	C1
hsa-miR-92b-5p 	Cluster3 - 1	-0.037675222	0.290580687	-0.129654943	0.896862859	C1
hsa-miR-92b-5p 	Cluster4 - 1	-0.276824208	0.288660354	-0.958996286	0.873253426	C1
hsa-miR-92b-5p 	Cluster5 - 1	-0.123952994	0.293871313	-0.421793446	0.873253426	C1
hsa-miR-378i 	Cluster2 - 1	-0.322234706	0.140265967	-2.297312113	0.217858706	C1
hsa-miR-378i 	Cluster3 - 1	-0.262652288	0.145766272	-1.80187285	0.359179603	C1
hsa-miR-378i 	Cluster4 - 1	-0.161959618	0.14480296	-1.118482785	0.527204396	C1
hsa-miR-378i 	Cluster5 - 1	-0.123673632	0.147416975	-0.838937524	0.573835019	C1
hsa-miR-671-3p 	Cluster2 - 1	0.202824615	0.259647147	0.781154801	0.543596966	C1
hsa-miR-671-3p 	Cluster3 - 1	0.596560169	0.269828792	2.210884033	0.136233022	C1
hsa-miR-671-3p 	Cluster4 - 1	0.646535826	0.2680456	2.412036701	0.136233022	C1
hsa-miR-671-3p 	Cluster5 - 1	0.351231964	0.272884418	1.287108905	0.396647874	C1
hsa-miR-204-5p 	Cluster2 - 1	0.115808548	0.261166779	0.44342756	0.795829023	C1
hsa-miR-204-5p 	Cluster3 - 1	0.270746834	0.271408015	0.997563885	0.651006116	C1
hsa-miR-204-5p 	Cluster4 - 1	0.367638388	0.269614386	1.36357111	0.651006116	C1
hsa-miR-204-5p 	Cluster5 - 1	-0.035025519	0.274481524	-0.127606107	0.898483749	C1
hsa-miR-4454 	Cluster2 - 1	-0.672279004	0.24060922	-2.794069998	0.013235616	C1
hsa-miR-4454 	Cluster3 - 1	0.16889285	0.250044325	0.675451643	0.624411459	C1
